variable,EUA_ret,TTF_ret,Brent_ret,Power_ret,CPI_yoy_change,IP_growth,Bund2Y_change_bps,CISS_change,GreenEquity_relative,GreenBond_relative
EUA_ret,1.0,0.2461895764446544,0.20786490316485592,0.10137379940166903,0.13916047043651142,0.014590666267709298,0.18386852335683446,-0.22993213614423913,0.00490473941111636,-0.008636435207054007
TTF_ret,0.2461895764446544,1.0,0.1302432687765706,0.2608290033065659,0.18480726758996083,0.08351837530222644,0.02024504256359412,0.032131019769691786,0.003290820343253031,-0.1199614233978901
Brent_ret,0.20786490316485592,0.1302432687765706,1.0,0.12233112895606991,0.1771386214554096,0.020578902477419454,0.2220243074456771,-0.21376919989010687,-0.05149976381672178,-0.33239647299637853
Power_ret,0.10137379940166903,0.2608290033065659,0.12233112895606991,1.0,0.2772987178422206,0.059967008434056716,0.18058751169501144,0.11043229753371313,-0.05736498189261534,-0.1675838450637695
CPI_yoy_change,0.13916047043651142,0.18480726758996083,0.1771386214554096,0.2772987178422206,1.0,0.13667191204135398,0.10978349240174894,0.07081910348119994,-0.039904192868440644,-0.2395692156686527
IP_growth,0.014590666267709298,0.08351837530222644,0.020578902477419454,0.059967008434056716,0.13667191204135398,1.0,-0.011740365620885047,-0.018720767488322555,-0.08027228670597002,-0.047583052485573284
Bund2Y_change_bps,0.18386852335683446,0.02024504256359412,0.2220243074456771,0.18058751169501144,0.10978349240174894,-0.011740365620885047,1.0,-0.22654314062448544,-0.009766274664646512,-0.06358510062798674
CISS_change,-0.22993213614423913,0.032131019769691786,-0.21376919989010687,0.11043229753371313,0.07081910348119994,-0.018720767488322555,-0.22654314062448544,1.0,-0.027867878034858563,-0.011427424243971243
GreenEquity_relative,0.00490473941111636,0.003290820343253031,-0.05149976381672178,-0.05736498189261534,-0.039904192868440644,-0.08027228670597002,-0.009766274664646512,-0.027867878034858563,1.0,-0.13404975594394583
GreenBond_relative,-0.008636435207054007,-0.1199614233978901,-0.33239647299637853,-0.1675838450637695,-0.2395692156686527,-0.047583052485573284,-0.06358510062798674,-0.011427424243971243,-0.13404975594394583,1.0
