variable,EUA_ret,TTF_ret,Brent_ret,Power_ret,CPI_yoy_level,IP_growth,Bund2Y_change,CISS_level,GreenEquity_relative,GreenBond_relative
EUA_ret,1.0,0.21916762917283697,0.2519679381956233,0.027281859824050715,-0.027887820911569418,0.09668454118494223,0.06278082528016343,-0.26442305096892155,0.034457958416744094,-0.09130421596424552
TTF_ret,0.21916762917283697,1.0,0.164125323977503,0.2716458038487437,-0.1059351116536849,0.09298786520787726,0.005596506049843125,-0.16686815786616055,0.08154888213248086,-0.058052138028609195
Brent_ret,0.2519679381956233,0.164125323977503,1.0,0.06067872866993397,-0.0070314053499920945,0.29845607163650034,0.16229554199318294,-0.2599571126600933,0.04855826327742975,-0.3010662172113043
Power_ret,0.027281859824050715,0.2716458038487437,0.06067872866993397,1.0,0.33167624354937386,0.04864170968928682,0.1747708657774781,0.13705089990129893,0.0366401818740122,-0.0881768081104622
CPI_yoy_level,-0.027887820911569418,-0.1059351116536849,-0.0070314053499920945,0.33167624354937386,1.0,-0.024996912942553705,0.381483009378104,0.41704419050093533,-0.1545540744218558,-0.16016792826889453
IP_growth,0.09668454118494223,0.09298786520787726,0.29845607163650034,0.04864170968928682,-0.024996912942553705,1.0,0.0741091117808819,-0.2076491722669628,-0.019127817042594444,-0.04763951541789807
Bund2Y_change,0.06278082528016343,0.005596506049843125,0.16229554199318294,0.1747708657774781,0.381483009378104,0.0741091117808819,1.0,0.18511699304438167,0.004075592463285194,0.013818257087536397
CISS_level,-0.26442305096892155,-0.16686815786616055,-0.2599571126600933,0.13705089990129893,0.41704419050093533,-0.2076491722669628,0.18511699304438167,1.0,0.04743233511551025,-0.09057801629708287
GreenEquity_relative,0.034457958416744094,0.08154888213248086,0.04855826327742975,0.0366401818740122,-0.1545540744218558,-0.019127817042594444,0.004075592463285194,0.04743233511551025,1.0,-0.0665937686561339
GreenBond_relative,-0.09130421596424552,-0.058052138028609195,-0.3010662172113043,-0.0881768081104622,-0.16016792826889453,-0.04763951541789807,0.013818257087536397,-0.09057801629708287,-0.0665937686561339,1.0
